year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws
2010,1,6,23,1,-21,-16,1035,NW,7.16
2010,1,7,0,1,-21,-16,1035,NW,8.95
2010,1,7,1,1,-21,-16,1035,cv,0.45
2010,1,7,2,1,-22,-18,1036,cv,1.34
2010,1,7,3,1,-23,-15,1036,NW,4.02
2010,1,7,4,1,-24,-16,1035,NW,7.15
2010,1,7,5,1,-25,-15,1035,NW,10.28
2010,1,7,6,1,-24,-15,1035,NW,14.3
2010,1,7,7,1,-25,-13,1036,NE,4.92
2010,1,7,8,1,-24,-14,1036,NW,4.02
2010,1,7,9,1,-23,-12,1036,NW,8.94
2010,1,7,10,1,-22,-11,1036,NW,12.96
2010,1,7,11,1,-20,-10,1036,NW,16.09
2010,1,7,12,1,-21,-9,1035,NW,19.22
2010,1,7,13,1,-21,-8,1034,NW,21.01
2010,1,7,14,1,-20,-7,1033,NW,22.8
2010,1,7,15,1,-20,-7,1032,NW,24.59
2010,1,7,16,1,-18,-8,1032,NW,26.38
2010,1,7,17,1,-19,-9,1032,NW,28.17
2010,1,7,18,1,-19,-11,1032,NE,0.89
2010,1,7,19,1,-18,-11,1033,NW,1.79
2010,1,7,20,1,-19,-15,1032,NE,1.79
2010,1,7,21,1,-19,-14,1032,cv,0.45
2010,1,7,22,2,-21,-14,1032,cv,1.34
2010,1,7,23,2,-21,-16,1032,cv,2.23
2010,1,8,0,2,-21,-17,1031,NW,1.79
2010,1,8,1,2,-19,-16,1031,NW,3.58
2010,1,8,2,2,-20,-16,1031,NE,0.89
2010,1,8,3,1,-19,-15,1030,SE,0.89
2010,1,8,4,1,-18,-15,1030,cv,0.45
2010,1,8,5,1,-18,-15,1029,cv,1.34
2010,1,8,6,1,-18,-15,1029,NW,1.79
2010,1,8,7,1,-16,-13,1029,NE,0.89
2010,1,8,8,1,-16,-12,1029,SE,0.89
2010,1,8,9,1,-16,-12,1030,SE,1.78
2010,1,8,10,1,-17,-10,1030,NE,0.89
2010,1,8,11,1,-16,-10,1029,cv,0.89
2010,1,8,12,2,-16,-9,1028,SE,3.13
2010,1,8,13,2,-15,-8,1026,SE,4.92
2010,1,8,14,2,-16,-8,1026,cv,0.89
2010,1,8,15,2,-16,-8,1025,cv,1.78
2010,1,8,16,2,-16,-8,1025,cv,2.67
2010,1,8,17,2,-17,-8,1025,SE,0.89
2010,1,8,18,2,-17,-9,1026,cv,0.45
2010,1,8,19,2,-17,-11,1026,cv,1.34
2010,1,8,20,2,-17,-12,1026,cv,1.79
2010,1,8,21,2,-18,-14,1027,NW,1.79
2010,1,8,22,2,-16,-9,1027,NW,4.92
2010,1,8,23,2,-16,-11,1027,NW,6.71
2010,1,9,0,1,-17,-13,1027,cv,0.89
2010,1,9,1,1,-17,-13,1027,NW,3.13
2010,1,9,2,2,-17,-14,1027,NW,4.92
2010,1,9,3,2,-17,-15,1027,NW,8.05
2010,1,9,4,2,-17,-13,1027,NW,9.84
2010,1,9,5,1,-19,-16,1027,NW,13.86
2010,1,9,6,1,-18,-15,1027,NW,17.88
2010,1,9,7,1,-19,-15,1027,NW,21.9
2010,1,9,8,1,-18,-14,1028,NW,25.92
2010,1,9,9,1,-18,-9,1029,NE,5.81
2010,1,9,10,1,-17,-7,1029,NE,11.62
2010,1,9,11,1,-17,-6,1030,NE,17.43
2010,1,9,12,1,-16,-6,1029,NE,23.24
2010,1,9,13,1,-16,-5,1029,NE,28.16
2010,1,9,14,1,-15,-4,1029,NE,33.08
2010,1,9,15,1,-14,-4,1028,NE,37.1
2010,1,9,16,1,-15,-4,1029,NE,38.89
2010,1,9,17,1,-15,-4,1030,NW,1.79
2010,1,9,18,1,-15,-7,1030,NE,3.13
2010,1,9,19,1,-15,-6,1031,NW,3.13
2010,1,9,20,1,-15,-7,1032,NW,4.92
2010,1,9,21,1,-15,-6,1032,NE,3.13
2010,1,9,22,1,-15,-8,1033,cv,0.45
2010,1,9,23,1,-15,-8,1033,cv,0.9
2010,1,10,0,1,-15,-11,1033,NW,0.89
2010,1,10,1,1,-17,-13,1033,NW,1.78
2010,1,10,2,1,-17,-12,1033,NW,4.91
2010,1,10,3,1,-17,-13,1033,NW,8.04
2010,1,10,4,1,-19,-14,1032,NW,9.83
2010,1,10,5,1,-18,-13,1032,NW,12.96
2010,1,10,6,1,-19,-13,1032,NW,16.09
2010,1,10,7,1,-19,-14,1033,NW,19.22
2010,1,10,8,1,-19,-14,1034,NW,22.35
2010,1,10,9,1,-17,-12,1033,NW,24.14
2010,1,10,10,1,-16,-7,1033,NE,4.02
2010,1,10,11,1,-15,-7,1033,NW,3.13
2010,1,10,12,1,-15,-7,1032,NW,6.26
2010,1,10,13,1,-14,-6,1031,NW,9.39
2010,1,10,14,1,-14,-6,1031,NW,12.52
2010,1,10,15,1,-13,-5,1030,NW,14.31
2010,1,10,16,1,-14,-5,1031,NW,16.1
2010,1,10,17,1,-14,-6,1031,NW,19.23
2010,1,10,18,1,-13,-7,1032,NW,23.25
2010,1,10,19,1,-15,-6,1032,NW,27.27
2010,1,10,20,1,-15,-6,1033,NW,30.4
2010,1,10,21,1,-15,-4,1034,NW,35.32
2010,1,10,22,1,-16,-4,1034,NW,44.26
2010,1,10,23,1,-17,-5,1035,NW,52.31
2010,1,11,0,1,-17,-6,1035,NW,60.36
2010,1,11,1,1,-17,-8,1035,cv,0.89
2010,1,11,2,1,-19,-11,1036,NW,4.02
2010,1,11,3,1,-20,-11,1036,NW,8.94
2010,1,11,4,1,-21,-11,1035,NE,4.02
2010,1,11,5,1,-22,-12,1035,NW,3.13
2010,1,11,6,1,-22,-12,1035,NE,4.92
2010,1,11,7,1,-22,-13,1036,NW,5.81
2010,1,11,8,1,-22,-9,1036,NW,13.86
2010,1,11,9,1,-22,-10,1036,NW,21.91
2010,1,11,10,1,-22,-9,1036,NW,29.06
2010,1,11,11,1,-21,-9,1036,NW,33.08
2010,1,11,12,1,-20,-6,1035,NW,42.02
2010,1,11,13,1,-19,-5,1034,NW,50.96
2010,1,11,14,1,-19,-5,1033,NW,59.01
2010,1,11,15,1,-20,-5,1033,NW,66.16
2010,1,11,16,1,-20,-5,1032,NW,71.97
2010,1,11,17,1,-20,-5,1033,NW,76.89
2010,1,11,18,1,-20,-7,1033,NW,81.81
2010,1,11,19,1,-22,-7,1033,NW,85.83
2010,1,11,20,1,-22,-8,1033,NW,89.85
2010,1,11,21,1,-23,-10,1033,NW,91.64
2010,1,11,22,1,-23,-13,1033,NW,93.43
2010,1,11,23,1,-22,-12,1032,cv,0.89
2010,1,12,0,1,-22,-15,1031,cv,1.78
2010,1,12,1,1,-22,-14,1031,NE,1.79
2010,1,12,2,1,-22,-14,1031,NW,0.89
2010,1,12,3,1,-24,-18,1030,NE,1.79
2010,1,12,4,1,-24,-13,1030,NE,3.58
2010,1,12,5,1,-25,-14,1030,NW,3.13
2010,1,12,6,1,-24,-14,1030,NW,7.15
2010,1,12,7,1,-25,-12,1030,NW,12.96
2010,1,12,8,1,-26,-14,1030,NW,16.98
2010,1,12,9,1,-25,-12,1031,NW,21
2010,1,12,10,1,-25,-11,1031,NW,26.81
2010,1,12,11,1,-24,-11,1030,NW,35.75
2010,1,12,12,1,-23,-11,1029,NW,47.82
2010,1,12,13,1,-22,-11,1029,NW,63.02
2010,1,12,14,1,-23,-11,1029,NW,75.98
2010,1,12,15,1,-22,-11,1029,NW,88.05
2010,1,12,16,1,-23,-11,1030,NW,101.01
2010,1,12,17,1,-24,-11,1030,NW,109.06
2010,1,12,18,1,-24,-11,1032,NW,118
2010,1,12,19,1,-23,-11,1032,NW,126.05
2010,1,12,20,1,-23,-12,1032,NW,134.1
2010,1,12,21,1,-24,-12,1033,NW,142.15
2010,1,12,22,1,-23,-12,1033,NW,150.2
2010,1,12,23,1,-23,-12,1034,NW,160.03
2010,1,13,0,1,-24,-12,1034,NW,169.86
2010,1,13,1,1,-24,-12,1033,NW,178.8
2010,1,13,2,1,-25,-12,1033,NW,189.98
2010,1,13,3,1,-24,-13,1033,NW,198.03
2010,1,13,4,1,-25,-12,1032,NW,205.18
2010,1,13,5,1,-25,-12,1033,NW,215.01
2010,1,13,6,1,-25,-12,1032,NW,226.19
2010,1,13,7,1,-25,-12,1032,NW,235.13
2010,1,13,8,1,-25,-12,1032,NW,243.18
2010,1,13,9,1,-23,-11,1033,NW,252.12
2010,1,13,10,1,-23,-10,1033,NW,257.93
2010,1,13,11,1,-22,-9,1033,NW,263.74
2010,1,13,12,1,-21,-8,1031,NW,270.89
2010,1,13,13,1,-21,-6,1030,NW,278.94
2010,1,13,14,1,-20,-5,1029,NW,286.99
2010,1,13,15,1,-22,-5,1028,NW,294.14
2010,1,13,16,1,-21,-5,1028,NW,299.06
2010,1,13,17,1,-19,-7,1028,SE,1.79
2010,1,13,18,1,-19,-8,1028,cv,0.45
2010,1,13,19,1,-20,-9,1028,cv,1.34
2010,1,13,20,1,-19,-10,1027,SE,1.79
2010,1,13,21,1,-19,-13,1027,cv,0.89
2010,1,13,22,1,-18,-12,1027,cv,1.78
2010,1,13,23,1,-18,-13,1027,NE,0.89
2010,1,14,0,1,-18,-14,1026,NE,1.78
2010,1,14,1,2,-20,-15,1025,NE,2.67
2010,1,14,2,2,-20,-15,1025,NW,0.89
2010,1,14,3,1,-20,-16,1025,NW,1.78
2010,1,14,4,1,-20,-16,1024,NW,3.57
2010,1,14,5,1,-21,-17,1024,NW,6.7
2010,1,14,6,1,-19,-14,1023,NW,10.72
2010,1,14,7,1,-21,-17,1023,NW,13.85
2010,1,14,8,1,-19,-15,1024,NW,15.64
2010,1,14,9,1,-19,-14,1024,NW,18.77
2010,1,14,10,1,-18,-10,1024,NW,22.79
2010,1,14,11,1,-17,-9,1023,NW,24.58
2010,1,14,12,1,-16,-6,1023,NW,26.37
2010,1,14,13,1,-17,-5,1022,NW,28.16
2010,1,14,14,1,-16,-5,1022,NW,29.95
2010,1,14,15,1,-15,-4,1022,NW,33.08
2010,1,14,16,1,-16,-4,1023,cv,0.89
2010,1,14,17,1,-15,-5,1025,SE,1.79
2010,1,14,18,1,-14,-3,1026,NW,5.81
2010,1,14,19,1,-16,-3,1027,NW,11.62
2010,1,14,20,1,-15,-4,1029,NW,20.56
2010,1,14,21,1,-16,-5,1031,NW,24.58
2010,1,14,22,1,-17,-6,1032,NE,3.13
2010,1,14,23,1,-18,-6,1033,NE,8.05
2010,1,15,0,1,-19,-7,1034,NE,13.86
2010,1,15,1,1,-17,-8,1035,NW,5.81
2010,1,15,2,1,-18,-10,1035,NW,11.62
2010,1,15,3,1,-19,-10,1036,NW,14.75
2010,1,15,4,1,-19,-9,1036,NW,19.67
2010,1,15,5,1,-19,-9,1036,NE,7.15
2010,1,15,6,1,-20,-9,1037,NE,12.96
2010,1,15,7,1,-19,-9,1037,NE,18.77
2010,1,15,8,1,-19,-8,1038,NE,22.79
2010,1,15,9,1,-19,-8,1039,NE,28.6
2010,1,15,10,1,-19,-7,1039,NE,35.75
2010,1,15,11,1,-18,-6,1039,NE,41.56
2010,1,15,12,1,-18,-5,1039,NE,45.58
2010,1,15,13,1,-17,-4,1038,NW,1.79
2010,1,15,14,1,-16,-3,1037,cv,0.89
2010,1,15,15,1,-17,-3,1037,cv,1.78
2010,1,15,16,1,-17,-2,1037,cv,2.23
2010,1,15,17,1,-15,-5,1036,SE,0.89
2010,1,15,18,1,-15,-6,1036,cv,0.89
2010,1,15,19,1,-15,-6,1037,cv,1.78
2010,1,15,20,1,-14,-6,1037,SE,1.79
2010,1,15,21,1,-14,-8,1036,SE,3.58
2010,1,15,22,1,-14,-10,1037,cv,0.89
2010,1,15,23,1,-15,-11,1036,cv,1.78
2010,1,16,0,1,-15,-11,1036,cv,2.67
2010,1,16,1,2,-16,-13,1036,NE,0.89
2010,1,16,2,2,-16,-12,1036,cv,0.89
2010,1,16,3,2,-16,-13,1035,NE,0.89
2010,1,16,4,2,-15,-12,1035,NE,1.78
2010,1,16,5,2,-14,-10,1034,NW,1.79
2010,1,16,6,1,-15,-10,1034,NW,2.68
2010,1,16,7,1,-15,-11,1034,NW,4.47
2010,1,16,8,1,-15,-11,1034,NW,6.26
2010,1,16,9,1,-14,-9,1034,NW,8.05
2010,1,16,10,1,-14,-9,1034,NW,9.84
2010,1,16,11,1,-13,-6,1034,cv,0.89
2010,1,16,12,1,-13,-5,1033,NW,1.79
2010,1,16,13,1,-12,-4,1031,cv,0.89
2010,1,16,14,1,-12,-3,1031,cv,1.78
2010,1,16,15,1,-12,-3,1030,cv,2.67
2010,1,16,16,1,-11,-3,1030,cv,3.56
2010,1,16,17,1,-11,-4,1031,NE,0.89
2010,1,16,18,1,-12,-7,1031,cv,0.89
2010,1,16,19,2,-12,-7,1032,cv,1.78
2010,1,16,20,2,-12,-8,1032,cv,2.23
2010,1,16,21,2,-12,-9,1032,cv,3.12
2010,1,16,22,2,-13,-11,1032,NW,0.89
2010,1,16,23,2,-14,-11,1032,NW,2.68
2010,1,17,0,2,-15,-12,1032,NW,5.81
2010,1,17,1,2,-14,-11,1032,cv,0.45
2010,1,17,2,2,-14,-11,1031,cv,1.34
2010,1,17,3,1,-14,-12,1031,NW,1.79
2010,1,17,4,1,-14,-12,1031,NW,3.58
2010,1,17,5,1,-14,-10,1030,NW,6.71
2010,1,17,6,2,-14,-11,1030,NW,9.84
2010,1,17,7,2,-15,-10,1030,NW,11.63
2010,1,17,8,2,-13,-10,1030,NW,14.76
2010,1,17,9,1,-13,-8,1030,NW,17.89
2010,1,17,10,2,-12,-6,1030,cv,0.45
2010,1,17,11,2,-11,-5,1030,cv,1.34
2010,1,17,12,2,-11,-4,1029,cv,2.23
2010,1,17,13,2,-11,-3,1028,cv,3.12
2010,1,17,14,1,-10,-1,1027,cv,4.01
2010,1,17,15,2,-11,-1,1027,cv,4.46
2010,1,17,16,2,-10,-1,1026,SE,0.89
2010,1,17,17,2,-10,-3,1026,SE,1.78
2010,1,17,18,2,-10,-5,1027,SE,2.67
2010,1,17,19,2,-10,-6,1027,NE,0.89
2010,1,17,20,2,-11,-7,1027,cv,0.45
2010,1,17,21,2,-10,-7,1027,cv,0.9
2010,1,17,22,2,-11,-9,1027,cv,1.35
2010,1,17,23,2,-12,-9,1027,NE,0.89
2010,1,18,0,2,-12,-10,1028,cv,0.89
2010,1,18,1,2,-13,-11,1028,NW,3.13
2010,1,18,2,2,-11,-9,1028,NW,4.92
2010,1,18,3,3,-13,-10,1028,NW,6.71
2010,1,18,4,3,-13,-11,1028,NW,7.6
2010,1,18,5,3,-13,-11,1027,NE,1.79
2010,1,18,6,2,-14,-11,1028,NW,0.89
2010,1,18,7,1,-14,-11,1028,NW,4.02
2010,1,18,8,1,-14,-11,1028,NW,5.81
2010,1,18,9,2,-11,-6,1028,NW,9.83
2010,1,18,10,1,-10,-5,1028,NW,11.62
2010,1,18,11,1,-9,-3,1028,NW,13.41
2010,1,18,12,1,-8,-1,1027,NW,15.2
2010,1,18,13,1,-9,0,1026,NW,16.99
2010,1,18,14,1,-9,1,1025,NE,1.79
2010,1,18,15,2,-9,1,1025,cv,0.89
2010,1,18,16,2,-8,1,1025,SE,0.89
2010,1,18,17,2,-7,-1,1025,SE,2.68
2010,1,18,18,2,-7,-2,1025,cv,0.89
2010,1,18,19,3,-7,-3,1025,SE,0.89
2010,1,18,20,3,-5,-2,1026,cv,0.89
2010,1,18,21,3,-5,-1,1026,NW,1.79
2010,1,18,22,3,-5,-1,1026,NW,3.58
2010,1,18,23,3,-6,-1,1026,cv,0.89
2010,1,19,0,3,-4,-1,1025,NW,1.79
2010,1,19,1,3,-5,-1,1024,NW,4.92
2010,1,19,2,3,-5,-1,1024,NW,6.71
2010,1,19,3,2,-5,-1,1023,NW,8.5
2010,1,19,4,2,-4,-1,1022,NW,10.29
2010,1,19,5,2,-4,-1,1021,NW,11.18
2010,1,19,6,3,-4,-1,1021,NW,12.07
2010,1,19,7,3,-4,-1,1021,NW,13.86
2010,1,19,8,2,-4,0,1021,cv,0.89
2010,1,19,9,3,-4,0,1021,NW,1.79
2010,1,19,10,3,-4,0,1021,cv,0.89
2010,1,19,11,3,-5,1,1021,NW,1.79
2010,1,19,12,2,-5,1,1020,cv,0.89
2010,1,19,13,2,-4,1,1019,cv,1.34
2010,1,19,14,2,-4,1,1018,NE,0.89
2010,1,19,15,2,-3,2,1018,cv,0.45
2010,1,19,16,3,-3,2,1018,cv,1.34
2010,1,19,17,3,-2,2,1018,NE,0.89
2010,1,19,18,3,-3,1,1018,cv,0.89
2010,1,19,19,3,-3,2,1020,NW,1.79
2010,1,19,20,3,-3,1,1020,NW,4.92
2010,1,19,21,3,-3,0,1021,NW,6.71
2010,1,19,22,3,-3,0,1021,NW,8.5
2010,1,19,23,3,-3,1,1020,NW,11.63
2010,1,20,0,3,-2,0,1021,NW,14.76
2010,1,20,1,3,-2,-1,1022,NW,16.55
2010,1,20,2,3,-4,-2,1022,NW,19.68
2010,1,20,3,2,-2,-1,1023,NW,25.49
2010,1,20,4,1,-3,1,1023,NW,28.62
2010,1,20,5,1,-3,0,1024,NW,31.75
2010,1,20,6,1,-5,2,1026,NW,36.67
2010,1,20,7,1,-9,1,1027,NW,41.59
2010,1,20,8,1,-10,0,1028,NW,48.74
2010,1,20,9,1,-10,0,1030,NW,55.89
2010,1,20,10,1,-11,1,1032,NW,63.04
2010,1,20,11,1,-13,0,1033,NW,71.09
2010,1,20,12,1,-13,0,1033,NW,78.24
2010,1,20,13,1,-13,-1,1033,NE,8.05
2010,1,20,14,1,-13,-1,1032,NW,7.15
2010,1,20,15,1,-15,-1,1032,NE,5.81
2010,1,20,16,1,-14,-1,1033,NW,5.81
2010,1,20,17,1,-15,-2,1033,NW,12.96
2010,1,20,18,1,-16,-3,1034,NW,21.01
2010,1,20,19,1,-17,-4,1035,NW,28.16
2010,1,20,20,1,-19,-3,1036,NW,37.99
2010,1,20,21,1,-18,-4,1037,NW,46.93
2010,1,20,22,1,-19,-4,1038,NW,55.87
2010,1,20,23,1,-19,-5,1038,NW,65.7
2010,1,21,0,1,-20,-6,1038,NW,75.53
2010,1,21,1,1,-20,-6,1038,NW,85.36
2010,1,21,2,1,-20,-7,1038,NW,95.19
2010,1,21,3,1,-22,-8,1038,NW,103.24
2010,1,21,4,1,-23,-8,1038,NW,111.29
2010,1,21,5,1,-24,-9,1038,NW,118.44
2010,1,21,6,1,-24,-9,1038,NW,128.27
2010,1,21,7,1,-25,-9,1038,NW,138.1
2010,1,21,8,1,-25,-8,1039,NW,147.04
2010,1,21,9,1,-25,-8,1039,NW,155.98
2010,1,21,10,1,-22,-7,1039,NW,160.9
2010,1,21,11,1,-22,-7,1038,NE,3.13
2010,1,21,12,1,-22,-5,1037,NW,4.02
2010,1,21,13,1,-21,-5,1035,NE,3.13
2010,1,21,14,1,-21,-4,1034,SE,1.79
2010,1,21,15,1,-20,-3,1034,NE,1.79
2010,1,21,16,1,-21,-2,1033,NW,4.92
2010,1,21,17,1,-20,-2,1033,NW,10.73
2010,1,21,18,1,-20,-2,1034,NW,15.65
2010,1,21,19,1,-19,-3,1034,NW,21.46
2010,1,21,20,1,-19,-3,1035,NW,25.48
2010,1,21,21,1,-17,-8,1035,NE,0.89
2010,1,21,22,1,-18,-9,1035,NW,1.79
2010,1,21,23,1,-18,-9,1035,NW,3.58
2010,1,22,0,1,-18,-6,1036,NW,7.6
2010,1,22,1,1,-20,-4,1037,NW,17.43
2010,1,22,2,1,-21,-5,1037,NW,27.26
2010,1,22,3,1,-21,-6,1037,NW,35.31
2010,1,22,4,1,-20,-7,1036,NW,42.46
2010,1,22,5,1,-20,-7,1035,NW,48.27
2010,1,22,6,1,-20,-7,1035,NW,54.08
2010,1,22,7,1,-20,-7,1036,NW,59
2010,1,22,8,1,-19,-7,1036,NW,63.92
2010,1,22,9,1,-20,-5,1036,NW,67.94
2010,1,22,10,1,-19,-4,1036,NW,75.09
2010,1,22,11,1,-19,-4,1036,NW,84.03
2010,1,22,12,1,-19,-3,1035,NW,95.21
2010,1,22,13,1,-18,-3,1034,NW,105.04
2010,1,22,14,1,-19,-2,1033,NW,114.87
2010,1,22,15,1,-18,-2,1032,NW,124.7
2010,1,22,16,1,-18,-2,1032,NW,133.64
2010,1,22,17,1,-18,-2,1032,NW,139.45
2010,1,22,18,1,-18,-3,1032,NW,144.37
2010,1,22,19,1,-17,-5,1033,NW,149.29
2010,1,22,20,1,-18,-4,1033,NW,153.31
2010,1,22,21,1,-17,-4,1032,NW,159.12
2010,1,22,22,1,-17,-4,1032,NW,164.04
2010,1,22,23,1,-17,-7,1032,NW,168.06
2010,1,23,0,1,-17,-4,1033,NW,172.08
2010,1,23,1,1,-17,-8,1033,cv,0.89
2010,1,23,2,1,-17,-5,1032,NW,4.92
2010,1,23,3,1,-18,-6,1032,NW,8.05
2010,1,23,4,1,-18,-5,1031,NW,12.97
2010,1,23,5,1,-18,-6,1031,NW,16.1
2010,1,23,6,1,-18,-7,1031,NW,20.12
2010,1,23,7,1,-18,-7,1031,NW,24.14
2010,1,23,8,1,-18,-6,1031,NW,25.93
2010,1,23,9,1,-18,-2,1031,NW,30.85
2010,1,23,10,1,-17,-1,1031,NW,38.9
2010,1,23,11,1,-17,0,1030,NW,46.95
2010,1,23,12,1,-19,1,1029,NW,55
